Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-07 4:39:05,elife,elife,75796,Pre-editing,Editor,level-2,"Schematron is showing like this please fix Error [xslt:error]: Type error evaluating (text()) in xsl:if/@test on line 29440 column 110 of pre-JATS-schematron.xsl: XPTY0004: A sequence of more than one item is not allowed as the first argument of fn:contains() (""Xenopus laevis The Journal of Biolo..."", "":6647–[x2013]6658. 10.1074/jbc.RA118.00254..."") invoked by xsl:apply-templates at file:///srv/basex/webapp/schematron/pre-JATS-schematron.xsl#30032 In template rule with match=""( element() | text() | comment() | processing-instruction() )"" on line 30031 of pre-JATS-schematron.xsl invoked by xsl:apply-templates at file:///srv/basex/webapp/schematron/pre-JATS-schematron.xsl#30032 In template rule with match=""( element() | text() | comment() | processing-instruction() )"" on line 30031 of pre-JATS-schematron.xsl invoked by xsl:apply-templates at file:///srv/basex/webapp/schematron/pre-JATS-schematron.xsl#30032 In template rule with match=""( element() | text() | comment() | processing-instruction() )"" on line 30031 of pre-JATS-schematron.xsl invoked by xsl:apply-templates at file:///srv/basex/webapp/schematron/pre-JATS-schematron.xsl#30032 In template rule with match=""( element() | text() | comment() | processing-instruction() )"" on line 30031 of pre-JATS-schematron.xsl invoked by xsl:apply-templates at file:///srv/basex/webapp/schematron/pre-JATS-schematron.xsl#30032 In template rule with match=""( element() | text() | comment() | processing-instruction() )"" on line 30031 of pre-JATS-schematron.xsl invoked by built-in template rule (text-only) In template rule with match=""/"" on line 1111 of pre-JATS-schematron.xsl invoked by xsl:apply-templates at file:///srv/basex/webapp/schematron/pre-JATS-schematron.xsl#4513 In template rule with match=""/"" on line 1111 of pre-JATS-schematron.xsl","XSLT broke on article title, So schematron not showed up.issue resolved",XML,Others,Other,Product,Product bug,Deepika (TYPESETTER),9h 36m
2022-01-07 3:42:59,spe,spej,SJ-0621-0044.R1,Typesetter Check,Editor,level-2,"Unable to find float with ID 'TA_1', this affects pdf generation, please fix.",Id corrected proof generated,XML,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),8h 26m
2022-01-07 5:35:37,spe,spej,SJ-0621-0082.R2,Typesetter Check,Editor,level-2,"Pdf preview is not displayed (PDF.js v2.0.550 (build: 76337fdc) Message: Missing PDF ""https://kriya2.kriyadocs.com/resources/spe/spej/SJ-0621-0082.R2/proofing/SJ-0621-0082.R2.pdf?method=server""). Please fix.",PDF preview is displayed in editor page please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),4h 45m
2022-01-07 7:16:30,mbs,ijsem,IJSEM-D-21-00391,Pre-editing,Editor,level-2,Please fix the DTD error.,Author name direct text removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),3h 14m
2022-01-07 5:47:15,mbs,ijsem,IJSEM-D-21-00327,Pre-editing,Editor,level-2,Please fix the DTD error.,References direct text removed.,XML,Others,Other,People,People Training,Pradheep (TYPESETTER),1h 52m
2022-01-07 6:41:01,elife,elife,63253,Typesetter Review,Editor,level-2,Please make inline table as first row as header unable to mark as header at after Immunohistochemistry Heading,Inline tables first row bold tag added please check PDF.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),6h 37m
2022-01-07 5:47:56,bir,bjrcr,bjrcr.20210170,Typesetter Review,Editor,level-2,Fpage lpage duplicate please fix,fpage and lpage duplicate removed,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),3h 52m
2022-01-07 11:02:43,elife,elife,63405,Pre-editing,Editor,level-2,"1) disp-formula must contain an mml:math element. https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/maths#disp-formula-test-2 /article[1]/back[1]/app-group[1]/app[1]/sec[1]/sec[5]/p[8]/disp-formula[3]2) sup element is not allowed as a child of disp-formula. https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/maths#disp-formula-child-test-1 /article[1]/body[1]/sec[4]/sec[1]/sec[5]/p[1]/disp-formula[1]/sup[1]3) sup element is not allowed as a child of disp-formula. https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/maths#disp-formula-child-test-1 /article[1]/back[1]/app-group[1]/app[1]/sec[1]/sec[5]/p[8]/disp-formula[3]/sup[1]4) The break element is only permitted as a child (or descendant) of a table cell. This one is placed elsewhere (article/body/sec/sec/p/disp-formula/label/break). /article[1]/body[1]/sec[4]/sec[3]/p[3]/disp-formula[1]/label[1]/break[1]5) equation link content does not match what it directs to (content = Equation 1.1; label = 1a).6) equation link content does not match what it directs to (content = Equation 3; label = 3a).7) equation link content does not match what it directs to (content = Equation 4; label = 4a).8) Eq. (1.4) - link points to equation, but does not include the string 'Equation', which is unusual. Is it correct? https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/allowed-assets/asset-citations#equ-xref-conformity-19) equation link content does not match what it directs to (content = Eq. (1.4); label = 1d). Is this correct? https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/allowed-assets/asset-citations#equ-xref-conformity-210) equation link content does not match what it directs to (content = Equation 1.9; label = 1i). Is this correct? https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/allowed-assets/asset-citations#equ-xref-conformity-211) formula content checking: There should only be one formula represented in the element. If these are alternate forms of the same formula, they must all be wrapped in . If more than on formula is represented here, each should be in its own . TEXT: . (1a)vt+1=αvt+βvutωandωt+1=αωt+βωutω /ERR/article/body/sec[4]/sec[1]/sec[5]/p[1]/disp-formula12) Couldn't export pdf, showing error as ""process killed"". please do generate pdf and give.","All listed points fixed, Please check the proof issue with proofing team",Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),2h 30m
2022-01-07 9:06:57,bmj,medhum,medhum-2021-012301,Pre-editing,Editor,level-2,Clear probe error,DOI issue probe cleared,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),7h 55m
2022-01-07 6:56:59,elife,elife,71895,Typesetter Review,Editor,level-2,Kindly fix the errors shown in the screenshot. All the mentioned reference has citations in text but error shown for these. Please fix.Screenshot at 2022-01-07 12-25-57.png,"check with bala, there is a list which contains citations. Check whether needs to be cited or not.",Document elements,Citation,PDF issues,Process,Special Request,Ranjithkumar (TYPESETTER),8h 11m
