Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-10 6:16:12,elife,elife,69088,Pre-editing,Editor,level-2,Please fix DTD-validator error.,DTD cleared,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),5h 39m
2022-01-10 10:26:37,elife,elife,69395,Pre-editing,Editor,level-2,1. pub-date[@pub-type='collection'] year must be the same as pub-date[@publication-format='electronic'][@date-type='publication'] year.2. Journal volume is incorrect. It should be 11. Unable to fix this error. please check.,validation fixed,Probe Validation,Others,Unable to add additional elements,Product,People Training,Ranjithkumar (TYPESETTER),3h 10m
2022-01-10 14:20:37,elife,elife,70907,Typesetter Review,Editor,level-2,"Kindly update Pre-print. I couldn't update it in my end in order to fix the probe error.https://doi.org/10.1101/2021.03.25.436938March 25, 2021Screenshot at 2022-01-10 19-50-22.png",Probe cleared & valdiation clear from your end( Collabration),Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),0h 30m
2022-01-10 6:40:07,elife,elife,76898,Pre-editing,Editor,level-2,"1. Please fix DTD error of ""An element with the identifier ""conf1"" must appear in the document.""2. Please remove front class=""jrnlAbsGroup"" and back matterSample file ""76247""","Listed issues fixed, please do check out the copyright statement and proceed.",Document elements,Paragraph,User not able to structure,Product,Product New Requirement,Ranjithkumar (TYPESETTER),5h 41m
2022-01-10 12:48:06,elife,elife,76898,Pre-editing,Editor,level-2,Tag should not have empty value--Please fix remove abstract group,Empty abs removed,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),1h 8m
2022-01-10 12:00:20,elife,elife,63490,Pre-editing,Editor,level-2,"1) Empty xref in the body is not allowed. Its position is here in the text - ""; *Empty xref*; "". https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/allowed-assets/asset-citations#empty-xref-test.2) - citation does not conform to house style. It should be 'Abbott and Dayan, 1999'. Preceding text = '; '. https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/reference-citations#pre-ref-xref-test-1 /article[1]/body[1]/sec[3]/p[2]/xref[22].3) [ref-xref-test-5] citation doesn't contain letters, which must be incorrect - . https://elifesciences.gitbook.io/productionhowto/-M1eY9ikxECYR-0OcnGt/article-details/content/reference-citations#ref-xref-test-5./article[1]/body[1]/sec[3]/p[2]/xref[22]Couldn't fix all these errors. Please do fix and give.",validation cleared,Probe Validation,Others,User unable to override the house style,People,Product Missed Requirement,Ranjithkumar (TYPESETTER),2h 6m
2022-01-10 9:34:05,elife,elife,69348,Typesetter Check,Editor,level-2,"Please clear probe;1. [ed-eval-rel-obj-test-5] related-object in editor's evaluation must have an object-id attribute whose value is the same as the preprint doi in the article's pub-history. object-id '10.1101/2021.05.11.443615' is not the same as the preprint doi in the event history, ''.2. [ed-eval-rel-obj-test-7] related-object in editor's evaluation must have an xlink:href attribute whose value is 'https://sciety.org/articles/activity/' followed by the preprint doi in the article's pub-history. xlink:href 'https://sciety.org/articles/activity/10.1101/2021.05.11.443615' is not the same as 'https://sciety.org/articles/activity/'. Which is correct?",check and add the preprint date.,Probe Validation,Others,Linking between the elements are incorrect,People,People Training,Ranjithkumar (TYPESETTER),4h 10m
2022-01-10 7:32:50,sage,cms,CMS1074945,Pre-editing,Editor,level-2,Please clear this probe error. (journal information missing),Journal meta updated,Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),4h 43m
2022-01-10 8:34:10,elife,elife,71171,Typesetter Review,Editor,level-2,"Please fix this error ""[media-test-10] Media file for Figure 2—video 6 (elife-71171-fig2-video6.mp4) is the same as the one used for Figure 2—video 1."" and Figure PDF is not generating it shows HTML error.",validation cleared,Probe Validation,Others,User unable to override the house style,Product,People Training,Ranjithkumar (TYPESETTER),4h 57m
2022-01-10 4:02:11,elife,elife,75796,Pre-editing,Editor,level-2,"The content of element type ""supplementary-material"" must match ""(object-id*,label?,caption*,abstract*,kwd-group*,(alt-text|long-desc|email|ext-link|uri)*,(disp-formula|disp-formula-group|chem-struct-wrap|disp-quote|speech|statement|verse-group|table-wrap|p|def-list|list|alternatives|array|code|graphic|media|preformat)*,(attrib|permissions)*)"".--Please fix DTD error",validation fixed,Probe Validation,Others,House style incorrect,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),7h 54m
