Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-02-01 8:00:58,bmj,neurintsurg,neurintsurg-2021-018348,Typesetter Check,Editor,level-2,Please add supplemental disclaimer statement in XML.,Supplement statement added,Document elements,Copyright statement,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 21m
2022-02-01 7:24:39,elife,elife,72415,Pre-editing,Editor,level-2,"1) Couldn't add given names in bib47. when added and saved, it gets emptied again. Please do add the given names as ""T"" for the author Shraiman and ""U"" for the author Siggia.2) cc.PNGPlease do remove the empty table which is after equation 5.3) In all the equations, not able to tag the equation label. In kriya, eqn label tag is not shown under styles tab. So, please do tag all the equation labels.dd.PNG4) Please do fix all the PMC-Validator errors.",1. reference updated2. Empty table removed3. label option showing correctly.4. Error will be cleared when you do styling of eqnlabel,Document elements,Others,House style incorrect,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),6h 37m
2022-02-01 13:14:30,iet_books,iet_books.48858,iet_books.48858.004,Pre-editing,Editor,level-2,"Kindly fix this is ""Tagging pattern incorrect. Please contact support team""",probe cleared,AHS not working,Tagging pattern incorrect,Editor Functionality,Product,Product BUG,Hariharan VP,1h 43m
2022-02-01 4:53:40,sage_digital,srmdro,srmdro-2022-1479,Final Deliverables,Editor,level-2,Validation error found,Validation error cleared,Probe Validation,Others,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),8h 41m
2022-02-01 12:41:13,springer_books,springer_books.21290,springer_books.21290.011,Pre-editing,Editor,level-2,Validation errors - Unable to export PDF,data-id updated,Probe Validation,Others,XML issues,Product,Product bug,Sneka (TYPESETTER),1h 33m
2022-02-01 8:19:36,bir,bjr,bjr.20210392,Pre-editing,Editor,level-2,Fix the probe error.Screenshot at 2022-02-01 13-49-05.png,unwanted tag removed,Probe Validation,Others,Other,Product,Product bug,Sneka (TYPESETTER),5h 0m
2022-02-01 7:24:40,isass,ijss,IJSSURGERY-D-20-00240,Typesetter Check,Proofing,level-2,Please update below points in proof stage1. In Reference list 1 and 13 doi end period not allowed. Please remove period2. In corresponding author email unwanted semicolon here in pdf. Please remove,Fixed,Editor issue,XML structure - Misc,XML issues,People,People Training,Aysha (TYPESETTER),0h 30m
2022-02-01 4:37:41,bmj,lupus,lupus-2021-000554,Final Deliverables,Proofing,level-2,PDF generation failed. Error: unable to fetch proofing HTML: res error: Error: socket hang up res body: undefined,Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),7h 10m
2022-02-01 8:01:43,springer_books,springer_books.21290,springer_books.21290.004,Pre-editing,Proofing,level-2,PDF generation failed - Process killed,proofing engine attribute removed to run in InDesign CS6 since finding problem in InDesign server instances,Proofing scripts,Bug,PDF issues,Product,Process Complication,Augustine (TYPESETTER),7h 42m
2022-02-01 2:54:33,elife,elife,72908,Typesetter Review,Proofing,level-2,PDF generation failed. Error: unable to fetch proofing HTML: res error: Error: socket hang up res body: undefined.,"Main proof has been generated (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server. Main proof: http://kriya2.kriyadocs.com/resources/elife/elife/72908/proofing/kriya2.kriyadocs.com/72908.pdf?method=server )",Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),10h 40m
2022-02-01 8:10:09,springer_books,springer_books.21290,springer_books.21290.005,Pre-editing,Proofing,level-2,PDF generation failed - Process killed,Removed proofing engine to run on InDesign CS6,Proofing scripts,Bug,PDF issues,Product,Product bug,Augustine (TYPESETTER),7h 46m
2022-02-01 10:08:36,elife,elife,73541,Typesetter Review,Proofing,level-2,Equation in Appendix 1 - Algorithm 1 merge with next row.,Fixed,Editor issue,XML structure - Misc,XML issues,Product,Product bug,Aysha (TYPESETTER),4h 46m
2022-02-01 4:36:58,bjp,bjj,BJJ-2021-1320.R1,Typesetter Review,Proofing,level-2,"{id: ""9727532d-1856-4d47-b02f-b811df1af5bf"",…}}This is offfline article, kindly provide the updated pdf",Offline article for float placement reorder,Offline process,Known issues,PDF issues,Product,Product bug,Augustine (TYPESETTER),2h 51m
2022-02-01 5:23:35,bmj,tobaccocontrol,tobaccocontrol-2021-056580,Typesetter Review,Proofing,level-2,"Please process this offline article with new instructionsJob id: cd76b017-658e-49a0-80a8-e0662e5270d21. Please ensure that all figures are of same size (same size as 2nd figure) except for 1st figure and the Supreme Court figure (which will be 1/4 th the size)2. We need to display ""Deputy News Editor, Tobacco Control"" just below the author's name (I have added in Kriya editor as Role).",Processed in Offline. Reason: Client Request: This is a special article. A one-off article published once in 10 years.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),6h 16m
