Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-03 5:30:26,elife,elife,69380,Typesetter Review,Editor,level-2,"Please fix1. [pub-date-test-6] pub-date[@pub-type='collection'] year must be the same as pub-date[@publication-format='electronic'][@date-type='publication'] year. 2. Error permissions-test-6 [permissions-test-6] copyright-year must match the contents of the year in the pub-date[@publication-format='electronic'][@date-type='publication']. 3. Currently, copyright-year=2021 and pub-date=2022. Error volume-test-1 [volume-test-1] Journal volume is incorrect. It should be 11.",Please check pub histroy & update year revereted,XML,Others,XML issues,People,People Training,Muthukumar (TYPESETTER),0h 48m
2022-01-03 4:44:42,bmj,bcr,bcr-2021-246075,Typesetter Review,Editor,level-2,"In ""Cite as"", the second author's name should be ""Fadila"". Please change it",Cite as name changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),4h 32m
2022-01-03 9:27:28,bmj,gpsych,gpsych-2021-100662,Pre-editing,Editor,level-2,Please fix probe error,Equation unwanted empty space removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 23m
2022-01-03 11:11:03,elife,elife,75415,Typesetter Review,Editor,level-2,Please fix the Schetron regards Pubdate and volume.,Permission year changed error cleared.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 32m
2022-01-03 5:35:42,bmj,bcr,bcr-2021-246996,Typesetter Review,Editor,level-2,"Please fix video labels for videos 1-4.(i.e., change ""Video1Video 1"" to ""Video 1"")",Video labels changed please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),0h 59m
2022-01-03 6:32:51,bmj,bmjopen,bmjopen-2021-057724,Typesetter Check,Editor,level-2,please change to supplemental files label 4 and 5 to supplemental files 2 and 3.,Changed supplemental files label 4 and 5 to supplemental files 2 and 3. Please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 22m
2022-01-03 7:59:12,elife,elife,68242,Typesetter Review,Editor,level-2,Client request: Please fix the competing interests. This statement is not displaying in the proof and XML. (should just be No competing interests declared),Competing interst updated,XML,Others,Content loading issues,Product,Special Request,Muthukumar (TYPESETTER),4h 36m
2022-01-03 13:51:38,elife,elife,68242,Typesetter Review,Editor,level-2,Couldn't sign off the file. Error throwing. Please fix.Screenshot at 2022-01-03 19-20-42.png,Moved next stage,XML,Others,Content loading issues,Product,Special Request,Muthukumar (TYPESETTER),1h 46m
2022-01-03 4:58:21,elife,elife,68422,Typesetter Review,Editor,level-2,"Please fix1. Error pub-date-test-6 [pub-date-test-6] pub-date[@pub-type='collection'] year must be the same as pub-date[@publication-format='electronic'][@date-type='publication'] year.2. Error permissions-test-6 [permissions-test-6] copyright-year must match the contents of the year in the pub-date[@publication-format='electronic'][@date-type='publication']. Currently, copyright-year=2021 and pub-date=2022.",2022 updated,XML,Others,XML issues,Product,Product bug,Muthukumar (TYPESETTER),1h 2m
2022-01-03 4:52:33,bmj,medhum,medhum-2021-012212,Pre-editing,Editor,level-2,Clear probe error,Unwanted xlink removed in references.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 15m
2022-01-03 5:26:01,bmj,rmdopen,rmdopen-2021-001846,Typesetter Check,Editor,level-2,Please add supplemental disclaimer statement in XML.,Added supplemental disclaimer statement please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 2m
2022-01-03 5:46:26,bmj,neurintsurg,neurintsurg-2021-018466,Typesetter Check,Editor,level-2,Please add supplemental disclaimer statement in XML.,Supplemental disclaimer statement added please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 17m
2022-01-03 5:31:26,bjp,bjo,BJO-2021-0166.R1,Final Deliverables,Editor,level-2,Kindly fix probe error,Listed issue fixed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),4h 15m
