Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-06 1:46:06,bmj,bmjopen,bmjopen-2021-053205,Typesetter Review,Editor,level-2,"The article will be published in 2022, So please change the date and DOI. It should change 2021 to 2022",There was an option to cahnge 2022 in kriya please change it yourself,Menu bar - other,Others,Other,People,People Training,Muthukumar (TYPESETTER),1h 49m
2022-01-06 5:50:18,elife,elife,69786,Typesetter Review,Editor,level-2,"Videos do not seem to run in Kriya, please can you fix.",Video link working fine only please check,Structure content,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),8h 39m
2022-01-06 6:07:47,bjp,bjr,BJR-2021-0499,Final Deliverables,Editor,level-2,Please solve this errorCapture.JPG,Copyright year changed,Document elements,Metadata,User unable to override the house style,Product,Product bug,Hariharan (TYPESETTER),0h 42m
2022-01-06 9:47:24,bmj,neurintsurg,neurintsurg-2021-018584,Typesetter Check,Editor,level-2,"Please add supplemental disclaimer statement,",Supplemental statement added,Document elements,Supplementary,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 24m
2022-01-06 9:02:12,bmj,medhum,medhum-2021-012299,Pre-editing,Editor,level-2,"PLease fix the probe error,",Probe cleared,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 47m
2022-01-06 11:00:40,spe,spej,SJ-0721-0082.R1,Typesetter Review,Editor,level-2,"1. Kindly change copyright year as 20222. Kindly change the two reference as given below:NACE RP0775, Preparation, Installation, Analysis, and Interpretation of Corrosion Coupons in Oilfield Operations. 2005. Houston, Texas, USA: NACE International.Wolthers, M., Charlet, L., van der Linde, P. R. et al. 2005. Surface Chemistry of Disordered Mackinawite (FeS). Geochim. Cosmochim. Acta 69 (14): 3469–3481. https://doi.org/10.1016/j.gca.2005.01.027.2.JPG",copyright year updated,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 22m
2022-01-06 8:26:26,bjp,bjj,BJJ-2021-0481.R2,Typesetter Review,Editor,level-2,Fix probe error,copyright year updated,Document elements,Copyright statement,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 13m
2022-01-06 3:34:10,bmj,bmjopen,bmjopen-2021-051275,Typesetter Review,Editor,level-2,Please remove supplemental disclaimer statement in XML.,supplemental statement removed,Document elements,Copyright statement,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),3h 10m
2022-01-06 9:46:55,spe,spepo,SPE-209576-PA,Typesetter Check,Editor,level-2,"1. Change ""Fig. 1a and b"" to ""Figs. 1a and 1b"".2. Move ""Vallabhan, K. G. M., Holden, C., and Skogestad, S. 2020"" below ""Skogestad, S. and Postlethwaite, I. 2007"".3. Change ""Figs. 11a c 13a and c"" to ""Figs. 11a, 11c, 13a, and 13c"".",citations corrected,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 35m
2022-01-06 12:21:37,spe,spepo,SPE-209576-PA,Typesetter Check,Proofing,level-2,Please clear the cell overflow issue in table 1 and 2.,Fixed,Knowledge issue,Not referred FAQ,Other,People,People Training,Aysha (TYPESETTER),0h 28m
